date,game_id,home_team,away_team,winner
2026-03-08,1001,Colorado Avalanche,Minnesota Wild,Minnesota Wild
2026-03-08,1002,Pittsburgh Penguins,Boston Bruins,Boston Bruins
2026-03-08,1003,Buffalo Sabres,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-08,1004,Dallas Stars,Chicago Blackhawks,Chicago Blackhawks
2026-03-08,1005,New Jersey Devils,Detroit Red Wings,Detroit Red Wings
2026-03-08,1006,Anaheim Ducks,St. Louis Blues,St. Louis Blues
2026-03-08,1007,Vegas Golden Knights,Edmonton Oilers,Edmonton Oilers
2026-03-09,1008,Philadelphia Flyers,New York Rangers,New York Rangers
2026-03-09,1009,Washington Capitals,Calgary Flames,Calgary Flames
2026-03-09,1010,Chicago Blackhawks,Utah Mammoth,Utah Mammoth
2026-03-09,1011,Vancouver Canucks,Ottawa Senators,Ottawa Senators
2026-03-10,1012,Boston Bruins,Los Angeles Kings,Los Angeles Kings
2026-03-10,1013,Buffalo Sabres,San Jose Sharks,San Jose Sharks
2026-03-10,1014,Montreal Canadiens,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-10,1015,Tampa Bay Lightning,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-10,1016,Florida Panthers,Detroit Red Wings,Detroit Red Wings
2026-03-10,1017,New York Rangers,Calgary Flames,Calgary Flames
2026-03-10,1018,Carolina Hurricanes,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-10,1019,St. Louis Blues,New York Islanders,New York Islanders
2026-03-10,1020,Dallas Stars,Vegas Golden Knights,Vegas Golden Knights
2026-03-10,1021,Minnesota Wild,Utah Mammoth,Utah Mammoth
2026-03-10,1022,Winnipeg Jets,Anaheim Ducks,Anaheim Ducks
2026-03-10,1023,Colorado Avalanche,Edmonton Oilers,Edmonton Oilers
2026-03-10,1024,Seattle Kraken,Nashville Predators,Nashville Predators
2026-03-11,1025,Ottawa Senators,Montreal Canadiens,Montreal Canadiens
2026-03-11,1026,Philadelphia Flyers,Washington Capitals,Washington Capitals
2026-03-12,1027,Boston Bruins,San Jose Sharks,San Jose Sharks
2026-03-12,1028,Buffalo Sabres,Washington Capitals,Washington Capitals
2026-03-12,1029,Toronto Maple Leafs,Anaheim Ducks,Anaheim Ducks
2026-03-12,1030,Tampa Bay Lightning,Detroit Red Wings,Detroit Red Wings
2026-03-12,1031,Florida Panthers,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-12,1032,New Jersey Devils,Calgary Flames,Calgary Flames
2026-03-12,1033,Carolina Hurricanes,St. Louis Blues,St. Louis Blues
2026-03-12,1034,Dallas Stars,Edmonton Oilers,Edmonton Oilers
2026-03-12,1035,Minnesota Wild,Philadelphia Flyers,Philadelphia Flyers
2026-03-12,1036,Winnipeg Jets,New York Rangers,New York Rangers
2026-03-12,1037,Utah Mammoth,Chicago Blackhawks,Chicago Blackhawks
2026-03-12,1038,Vancouver Canucks,Nashville Predators,Nashville Predators
2026-03-12,1039,Vegas Golden Knights,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-12,1040,Seattle Kraken,Colorado Avalanche,Colorado Avalanche
2026-03-13,1041,New York Islanders,Los Angeles Kings,Los Angeles Kings
2026-03-13,1042,St. Louis Blues,Edmonton Oilers,Edmonton Oilers
2026-03-14,1043,Ottawa Senators,Anaheim Ducks,Anaheim Ducks
2026-03-14,1044,Washington Capitals,Boston Bruins,Boston Bruins
2026-03-14,1045,Winnipeg Jets,Colorado Avalanche,Colorado Avalanche
2026-03-14,1046,Minnesota Wild,New York Rangers,New York Rangers
2026-03-14,1047,Buffalo Sabres,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-14,1048,Montreal Canadiens,San Jose Sharks,San Jose Sharks
2026-03-14,1049,Tampa Bay Lightning,Carolina Hurricanes,Carolina Hurricanes
2026-03-14,1050,New Jersey Devils,Los Angeles Kings,Los Angeles Kings
2026-03-14,1051,New York Islanders,Calgary Flames,Calgary Flames
2026-03-14,1052,Philadelphia Flyers,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-14,1053,Dallas Stars,Detroit Red Wings,Detroit Red Wings
2026-03-14,1054,Utah Mammoth,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-14,1055,Vancouver Canucks,Seattle Kraken,Seattle Kraken
2026-03-14,1056,Vegas Golden Knights,Chicago Blackhawks,Chicago Blackhawks
2026-03-15,1057,Winnipeg Jets,St. Louis Blues,St. Louis Blues
2026-03-15,1058,Ottawa Senators,San Jose Sharks,San Jose Sharks
2026-03-15,1059,Montreal Canadiens,Anaheim Ducks,Anaheim Ducks
2026-03-15,1060,Minnesota Wild,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-15,1061,Edmonton Oilers,Nashville Predators,Nashville Predators
2026-03-15,1062,Seattle Kraken,Florida Panthers,Florida Panthers
2026-03-16,1063,Detroit Red Wings,Calgary Flames,Calgary Flames
2026-03-16,1064,New Jersey Devils,Boston Bruins,Boston Bruins
2026-03-16,1065,New York Rangers,Los Angeles Kings,Los Angeles Kings
2026-03-16,1066,Dallas Stars,Utah Mammoth,Utah Mammoth
2026-03-16,1067,Colorado Avalanche,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-17,1068,Toronto Maple Leafs,New York Islanders,New York Islanders
2026-03-17,1069,Montreal Canadiens,Boston Bruins,Boston Bruins
2026-03-17,1070,Columbus Blue Jackets,Carolina Hurricanes,Carolina Hurricanes
2026-03-17,1071,Winnipeg Jets,Nashville Predators,Nashville Predators
2026-03-17,1072,Chicago Blackhawks,Minnesota Wild,Minnesota Wild
2026-03-17,1073,Edmonton Oilers,San Jose Sharks,San Jose Sharks
2026-03-17,1074,Vancouver Canucks,Florida Panthers,Florida Panthers
2026-03-17,1075,Vegas Golden Knights,Buffalo Sabres,Buffalo Sabres
2026-03-17,1076,Seattle Kraken,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-18,1077,New York Rangers,New Jersey Devils,New Jersey Devils
2026-03-18,1078,Carolina Hurricanes,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-18,1079,Washington Capitals,Ottawa Senators,Ottawa Senators
2026-03-18,1080,Colorado Avalanche,Dallas Stars,Dallas Stars
2026-03-18,1081,Calgary Flames,St. Louis Blues,St. Louis Blues
2026-03-18,1082,Anaheim Ducks,Philadelphia Flyers,Philadelphia Flyers
2026-03-19,1083,Boston Bruins,Winnipeg Jets,Winnipeg Jets
2026-03-19,1084,Ottawa Senators,New York Islanders,New York Islanders
2026-03-19,1085,Detroit Red Wings,Montreal Canadiens,Montreal Canadiens
2026-03-19,1086,Columbus Blue Jackets,New York Rangers,New York Rangers
2026-03-19,1087,Nashville Predators,Seattle Kraken,Seattle Kraken
2026-03-19,1088,Minnesota Wild,Chicago Blackhawks,Chicago Blackhawks
2026-03-19,1089,Edmonton Oilers,Florida Panthers,Florida Panthers
2026-03-19,1090,Vancouver Canucks,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-19,1091,Vegas Golden Knights,Utah Mammoth,Utah Mammoth
2026-03-19,1092,San Jose Sharks,Buffalo Sabres,Buffalo Sabres
2026-03-19,1093,Los Angeles Kings,Philadelphia Flyers,Philadelphia Flyers
2026-03-20,1094,Toronto Maple Leafs,Carolina Hurricanes,Carolina Hurricanes
2026-03-20,1095,Washington Capitals,New Jersey Devils,New Jersey Devils
2026-03-20,1096,Chicago Blackhawks,Colorado Avalanche,Colorado Avalanche
2026-03-20,1097,Calgary Flames,Florida Panthers,Florida Panthers
2026-03-20,1098,Utah Mammoth,Anaheim Ducks,Anaheim Ducks
2026-03-21,1099,Pittsburgh Penguins,Winnipeg Jets,Winnipeg Jets
2026-03-21,1100,Nashville Predators,Vegas Golden Knights,Vegas Golden Knights
2026-03-21,1101,Minnesota Wild,Dallas Stars,Dallas Stars
2026-03-21,1102,Los Angeles Kings,Buffalo Sabres,Buffalo Sabres
2026-03-21,1103,San Jose Sharks,Philadelphia Flyers,Philadelphia Flyers
2026-03-21,1104,Columbus Blue Jackets,Seattle Kraken,Seattle Kraken
2026-03-21,1105,Montreal Canadiens,New York Islanders,New York Islanders
2026-03-21,1106,Ottawa Senators,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-21,1107,Vancouver Canucks,St. Louis Blues,St. Louis Blues
2026-03-21,1108,Detroit Red Wings,Boston Bruins,Boston Bruins
2026-03-21,1109,Edmonton Oilers,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-22,1110,New York Rangers,Winnipeg Jets,Winnipeg Jets
2026-03-22,1111,Washington Capitals,Colorado Avalanche,Colorado Avalanche
2026-03-22,1112,Pittsburgh Penguins,Carolina Hurricanes,Carolina Hurricanes
2026-03-22,1113,Chicago Blackhawks,Nashville Predators,Nashville Predators
2026-03-22,1114,New York Islanders,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-22,1115,Dallas Stars,Vegas Golden Knights,Vegas Golden Knights
2026-03-22,1116,Calgary Flames,Tampa Bay Lightning,Tampa Bay Lightning
2026-03-22,1117,Anaheim Ducks,Buffalo Sabres,Buffalo Sabres
2026-03-22,1118,Utah Mammoth,Los Angeles Kings,Los Angeles Kings
2026-03-23,1119,New York Rangers,Ottawa Senators,Ottawa Senators
2026-03-24,1120,Boston Bruins,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-24,1121,Montreal Canadiens,Carolina Hurricanes,Carolina Hurricanes
2026-03-24,1122,Detroit Red Wings,Ottawa Senators,Ottawa Senators
2026-03-24,1123,Florida Panthers,Seattle Kraken,Seattle Kraken
2026-03-24,1124,New York Islanders,Chicago Blackhawks,Chicago Blackhawks
2026-03-24,1125,Philadelphia Flyers,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-24,1126,Pittsburgh Penguins,Colorado Avalanche,Colorado Avalanche
2026-03-24,1127,Tampa Bay Lightning,Minnesota Wild,Minnesota Wild
2026-03-24,1128,St. Louis Blues,Washington Capitals,Washington Capitals
2026-03-24,1129,Nashville Predators,San Jose Sharks,San Jose Sharks
2026-03-24,1130,Dallas Stars,New Jersey Devils,New Jersey Devils
2026-03-24,1131,Winnipeg Jets,Vegas Golden Knights,Vegas Golden Knights
2026-03-24,1132,Utah Mammoth,Edmonton Oilers,Edmonton Oilers
2026-03-24,1133,Calgary Flames,Los Angeles Kings,Los Angeles Kings
2026-03-24,1134,Vancouver Canucks,Anaheim Ducks,Anaheim Ducks
2026-03-25,1135,Buffalo Sabres,Boston Bruins,Boston Bruins
2026-03-25,1136,Toronto Maple Leafs,New York Rangers,New York Rangers
2026-03-26,1137,Montreal Canadiens,Columbus Blue Jackets,Columbus Blue Jackets
2026-03-26,1138,Ottawa Senators,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-26,1139,Tampa Bay Lightning,Seattle Kraken,Seattle Kraken
2026-03-26,1140,Florida Panthers,Minnesota Wild,Minnesota Wild
2026-03-26,1141,New York Islanders,Dallas Stars,Dallas Stars
2026-03-26,1142,Philadelphia Flyers,Chicago Blackhawks,Chicago Blackhawks
2026-03-26,1143,St. Louis Blues,San Jose Sharks,San Jose Sharks
2026-03-26,1144,Nashville Predators,New Jersey Devils,New Jersey Devils
2026-03-26,1145,Winnipeg Jets,Colorado Avalanche,Colorado Avalanche
2026-03-26,1146,Utah Mammoth,Washington Capitals,Washington Capitals
2026-03-26,1147,Calgary Flames,Anaheim Ducks,Anaheim Ducks
2026-03-26,1148,Vegas Golden Knights,Edmonton Oilers,Edmonton Oilers
2026-03-26,1149,Vancouver Canucks,Los Angeles Kings,Los Angeles Kings
2026-03-27,1150,Buffalo Sabres,Detroit Red Wings,Detroit Red Wings
2026-03-27,1151,New York Rangers,Chicago Blackhawks,Chicago Blackhawks
2026-03-28,1152,Tampa Bay Lightning,Ottawa Senators,Ottawa Senators
2026-03-28,1153,New York Islanders,Florida Panthers,Florida Panthers
2026-03-28,1154,Edmonton Oilers,Anaheim Ducks,Anaheim Ducks
2026-03-28,1155,Boston Bruins,Minnesota Wild,Minnesota Wild
2026-03-28,1156,Pittsburgh Penguins,Dallas Stars,Dallas Stars
2026-03-28,1157,Carolina Hurricanes,New Jersey Devils,New Jersey Devils
2026-03-28,1158,Columbus Blue Jackets,San Jose Sharks,San Jose Sharks
2026-03-28,1159,Buffalo Sabres,Seattle Kraken,Seattle Kraken
2026-03-28,1160,St. Louis Blues,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-28,1161,Nashville Predators,Montreal Canadiens,Montreal Canadiens
2026-03-28,1162,Colorado Avalanche,Winnipeg Jets,Winnipeg Jets
2026-03-28,1163,Detroit Red Wings,Philadelphia Flyers,Philadelphia Flyers
2026-03-28,1164,Los Angeles Kings,Utah Mammoth,Utah Mammoth
2026-03-28,1165,Calgary Flames,Vancouver Canucks,Vancouver Canucks
2026-03-28,1166,Vegas Golden Knights,Washington Capitals,Washington Capitals
2026-03-29,1167,New York Rangers,Florida Panthers,Florida Panthers
2026-03-29,1168,Tampa Bay Lightning,Nashville Predators,Nashville Predators
2026-03-29,1169,Carolina Hurricanes,Montreal Canadiens,Montreal Canadiens
2026-03-29,1170,Columbus Blue Jackets,Boston Bruins,Boston Bruins
2026-03-29,1171,New Jersey Devils,Chicago Blackhawks,Chicago Blackhawks
2026-03-29,1172,Philadelphia Flyers,Dallas Stars,Dallas Stars
2026-03-30,1173,New York Islanders,Pittsburgh Penguins,Pittsburgh Penguins
2026-03-30,1174,Colorado Avalanche,Calgary Flames,Calgary Flames
2026-03-30,1175,Vegas Golden Knights,Vancouver Canucks,Vancouver Canucks
2026-03-30,1176,Anaheim Ducks,Toronto Maple Leafs,Toronto Maple Leafs
2026-03-30,1177,San Jose Sharks,St. Louis Blues,St. Louis Blues
2026-03-31,1178,Boston Bruins,Dallas Stars,Dallas Stars
2026-03-31,1179,Buffalo Sabres,New York Islanders,New York Islanders
2026-03-31,1180,Tampa Bay Lightning,Montreal Canadiens,Montreal Canadiens
2026-03-31,1181,Florida Panthers,Ottawa Senators,Ottawa Senators
2026-03-31,1182,New York Rangers,New Jersey Devils,New Jersey Devils
2026-03-31,1183,Pittsburgh Penguins,Detroit Red Wings,Detroit Red Wings
2026-03-31,1184,Washington Capitals,Philadelphia Flyers,Philadelphia Flyers
2026-03-31,1185,Columbus Blue Jackets,Carolina Hurricanes,Carolina Hurricanes
2026-03-31,1186,Chicago Blackhawks,Winnipeg Jets,Winnipeg Jets
2026-03-31,1187,Edmonton Oilers,Seattle Kraken,Seattle Kraken
2026-04-01,1188,Colorado Avalanche,Vancouver Canucks,Vancouver Canucks
2026-04-01,1189,Los Angeles Kings,St. Louis Blues,St. Louis Blues
2026-04-01,1190,San Jose Sharks,Anaheim Ducks,Anaheim Ducks
2026-04-02,1191,Ottawa Senators,Buffalo Sabres,Buffalo Sabres
2026-04-02,1192,Tampa Bay Lightning,Pittsburgh Penguins,Pittsburgh Penguins
2026-04-02,1193,Florida Panthers,Boston Bruins,Boston Bruins
2026-04-02,1194,New Jersey Devils,Washington Capitals,Washington Capitals
2026-04-02,1195,New York Rangers,Montreal Canadiens,Montreal Canadiens
2026-04-02,1196,Philadelphia Flyers,Detroit Red Wings,Detroit Red Wings
2026-04-02,1197,Carolina Hurricanes,Columbus Blue Jackets,Columbus Blue Jackets
2026-04-02,1198,Dallas Stars,Winnipeg Jets,Winnipeg Jets
2026-04-02,1199,Minnesota Wild,Vancouver Canucks,Vancouver Canucks
2026-04-02,1200,Edmonton Oilers,Chicago Blackhawks,Chicago Blackhawks
2026-04-02,1201,Vegas Golden Knights,Calgary Flames,Calgary Flames
2026-04-02,1202,San Jose Sharks,Toronto Maple Leafs,Toronto Maple Leafs
2026-04-02,1203,Seattle Kraken,Utah Mammoth,Utah Mammoth
2026-04-02,1204,Los Angeles Kings,Nashville Predators,Nashville Predators
2026-04-03,1205,New York Islanders,Philadelphia Flyers,Philadelphia Flyers
2026-04-03,1206,Anaheim Ducks,St. Louis Blues,St. Louis Blues
2026-04-04,1207,New York Rangers,Detroit Red Wings,Detroit Red Wings
2026-04-04,1208,Ottawa Senators,Minnesota Wild,Minnesota Wild
2026-04-04,1209,Dallas Stars,Colorado Avalanche,Colorado Avalanche
2026-04-04,1210,Tampa Bay Lightning,Boston Bruins,Boston Bruins
2026-04-04,1211,Pittsburgh Penguins,Florida Panthers,Florida Panthers
2026-04-04,1212,New Jersey Devils,Montreal Canadiens,Montreal Canadiens
2026-04-04,1213,Washington Capitals,Buffalo Sabres,Buffalo Sabres
2026-04-04,1214,Carolina Hurricanes,New York Islanders,New York Islanders
2026-04-04,1215,Columbus Blue Jackets,Winnipeg Jets,Winnipeg Jets
2026-04-04,1216,Vancouver Canucks,Utah Mammoth,Utah Mammoth
2026-04-04,1217,Los Angeles Kings,Toronto Maple Leafs,Toronto Maple Leafs
2026-04-04,1218,Edmonton Oilers,Vegas Golden Knights,Vegas Golden Knights
2026-04-04,1219,Anaheim Ducks,Calgary Flames,Calgary Flames
2026-04-04,1220,San Jose Sharks,Nashville Predators,Nashville Predators
2026-04-04,1221,Seattle Kraken,Chicago Blackhawks,Chicago Blackhawks
2026-04-05,1222,Detroit Red Wings,Minnesota Wild,Minnesota Wild
2026-04-05,1223,Pittsburgh Penguins,Florida Panthers,Florida Panthers
2026-04-05,1224,Philadelphia Flyers,Boston Bruins,Boston Bruins
2026-04-05,1225,Ottawa Senators,Carolina Hurricanes,Carolina Hurricanes
2026-04-05,1226,Montreal Canadiens,New Jersey Devils,New Jersey Devils
2026-04-05,1227,New York Rangers,Washington Capitals,Washington Capitals
2026-04-05,1228,Colorado Avalanche,St. Louis Blues,St. Louis Blues
2026-04-06,1229,Buffalo Sabres,Tampa Bay Lightning,Tampa Bay Lightning
2026-04-06,1230,Winnipeg Jets,Seattle Kraken,Seattle Kraken
2026-04-06,1231,San Jose Sharks,Chicago Blackhawks,Chicago Blackhawks
2026-04-06,1232,Los Angeles Kings,Nashville Predators,Nashville Predators
2026-04-07,1233,Montreal Canadiens,Florida Panthers,Florida Panthers
2026-04-07,1234,Ottawa Senators,Tampa Bay Lightning,Tampa Bay Lightning
2026-04-07,1235,Detroit Red Wings,Columbus Blue Jackets,Columbus Blue Jackets
2026-04-07,1236,New Jersey Devils,Philadelphia Flyers,Philadelphia Flyers
2026-04-07,1237,Carolina Hurricanes,Boston Bruins,Boston Bruins
2026-04-07,1238,St. Louis Blues,Colorado Avalanche,Colorado Avalanche
2026-04-07,1239,Dallas Stars,Calgary Flames,Calgary Flames
2026-04-07,1240,Minnesota Wild,Seattle Kraken,Seattle Kraken
2026-04-07,1241,Utah Mammoth,Edmonton Oilers,Edmonton Oilers
2026-04-07,1242,Vancouver Canucks,Vegas Golden Knights,Vegas Golden Knights
2026-04-07,1243,Anaheim Ducks,Nashville Predators,Nashville Predators
2026-04-08,1244,New York Rangers,Buffalo Sabres,Buffalo Sabres
2026-04-08,1245,Toronto Maple Leafs,Washington Capitals,Washington Capitals
2026-04-08,1246,San Jose Sharks,Edmonton Oilers,Edmonton Oilers
2026-04-09,1247,Buffalo Sabres,Columbus Blue Jackets,Columbus Blue Jackets
2026-04-09,1248,Montreal Canadiens,Tampa Bay Lightning,Tampa Bay Lightning
2026-04-09,1249,Ottawa Senators,Florida Panthers,Florida Panthers
2026-04-09,1250,Detroit Red Wings,Philadelphia Flyers,Philadelphia Flyers
2026-04-09,1251,New Jersey Devils,Pittsburgh Penguins,Pittsburgh Penguins
2026-04-09,1252,New York Islanders,Toronto Maple Leafs,Toronto Maple Leafs
2026-04-09,1253,St. Louis Blues,Winnipeg Jets,Winnipeg Jets
2026-04-09,1254,Dallas Stars,Minnesota Wild,Minnesota Wild
2026-04-09,1255,Chicago Blackhawks,Carolina Hurricanes,Carolina Hurricanes
2026-04-09,1256,Colorado Avalanche,Calgary Flames,Calgary Flames
2026-04-09,1257,Utah Mammoth,Nashville Predators,Nashville Predators
2026-04-09,1258,Anaheim Ducks,San Jose Sharks,San Jose Sharks
2026-04-09,1259,Seattle Kraken,Vegas Golden Knights,Vegas Golden Knights
2026-04-09,1260,Los Angeles Kings,Vancouver Canucks,Vancouver Canucks
2026-04-11,1261,Boston Bruins,Tampa Bay Lightning,Tampa Bay Lightning
2026-04-11,1262,New York Islanders,Ottawa Senators,Ottawa Senators
2026-04-11,1263,Pittsburgh Penguins,Washington Capitals,Washington Capitals
2026-04-11,1264,Los Angeles Kings,Edmonton Oilers,Edmonton Oilers
2026-04-11,1265,Detroit Red Wings,New Jersey Devils,New Jersey Devils
2026-04-11,1266,Chicago Blackhawks,St. Louis Blues,St. Louis Blues
2026-04-11,1267,Nashville Predators,Minnesota Wild,Minnesota Wild
2026-04-11,1268,Dallas Stars,New York Rangers,New York Rangers
2026-04-11,1269,Utah Mammoth,Carolina Hurricanes,Carolina Hurricanes
2026-04-11,1270,Toronto Maple Leafs,Florida Panthers,Florida Panthers
2026-04-11,1271,Montreal Canadiens,Columbus Blue Jackets,Columbus Blue Jackets
2026-04-11,1272,Winnipeg Jets,Philadelphia Flyers,Philadelphia Flyers
2026-04-11,1273,Seattle Kraken,Calgary Flames,Calgary Flames
2026-04-11,1274,Colorado Avalanche,Vegas Golden Knights,Vegas Golden Knights
2026-04-11,1275,San Jose Sharks,Vancouver Canucks,Vancouver Canucks
2026-04-12,1276,Washington Capitals,Pittsburgh Penguins,Pittsburgh Penguins
2026-04-12,1277,New York Islanders,Montreal Canadiens,Montreal Canadiens
2026-04-12,1278,Columbus Blue Jackets,Boston Bruins,Boston Bruins
2026-04-12,1279,New Jersey Devils,Ottawa Senators,Ottawa Senators
2026-04-12,1280,Anaheim Ducks,Vancouver Canucks,Vancouver Canucks
2026-04-12,1281,Calgary Flames,Utah Mammoth,Utah Mammoth
2026-04-13,1282,Tampa Bay Lightning,Detroit Red Wings,Detroit Red Wings
2026-04-13,1283,Florida Panthers,New York Rangers,New York Rangers
2026-04-13,1284,Philadelphia Flyers,Carolina Hurricanes,Carolina Hurricanes
2026-04-13,1285,Toronto Maple Leafs,Dallas Stars,Dallas Stars
2026-04-13,1286,St. Louis Blues,Minnesota Wild,Minnesota Wild
2026-04-13,1287,Nashville Predators,San Jose Sharks,San Jose Sharks
2026-04-13,1288,Chicago Blackhawks,Buffalo Sabres,Buffalo Sabres
2026-04-13,1289,Edmonton Oilers,Colorado Avalanche,Colorado Avalanche
2026-04-13,1290,Vegas Golden Knights,Winnipeg Jets,Winnipeg Jets
2026-04-13,1291,Seattle Kraken,Los Angeles Kings,Los Angeles Kings
2026-04-14,1292,Boston Bruins,New Jersey Devils,New Jersey Devils
2026-04-14,1293,New York Islanders,Carolina Hurricanes,Carolina Hurricanes
2026-04-14,1294,Philadelphia Flyers,Montreal Canadiens,Montreal Canadiens
2026-04-14,1295,Columbus Blue Jackets,Washington Capitals,Washington Capitals
2026-04-14,1296,Minnesota Wild,Anaheim Ducks,Anaheim Ducks
2026-04-14,1297,Utah Mammoth,Winnipeg Jets,Winnipeg Jets
2026-04-14,1298,Calgary Flames,Colorado Avalanche,Colorado Avalanche
2026-04-14,1299,St. Louis Blues,Pittsburgh Penguins,Pittsburgh Penguins
2026-04-14,1300,Vancouver Canucks,Los Angeles Kings,Los Angeles Kings
2026-04-15,1301,Buffalo Sabres,Dallas Stars,Dallas Stars
2026-04-15,1302,Tampa Bay Lightning,New York Rangers,New York Rangers
2026-04-15,1303,Florida Panthers,Detroit Red Wings,Detroit Red Wings
2026-04-15,1304,Ottawa Senators,Toronto Maple Leafs,Toronto Maple Leafs
2026-04-15,1305,Chicago Blackhawks,San Jose Sharks,San Jose Sharks
2026-04-15,1306,Vegas Golden Knights,Seattle Kraken,Seattle Kraken
2026-04-16,1307,Nashville Predators,Anaheim Ducks,Anaheim Ducks
2026-04-16,1308,Winnipeg Jets,San Jose Sharks,San Jose Sharks
2026-04-16,1309,Utah Mammoth,St. Louis Blues,St. Louis Blues
2026-04-16,1310,Calgary Flames,Los Angeles Kings,Los Angeles Kings
2026-04-16,1311,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks
2026-04-16,1312,Colorado Avalanche,Seattle Kraken,Seattle Kraken
